cve_estac,nom_estac,longitud,latitud,alt,obs_estac,id_station,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
SUR,Santa Ursula,-99.14999399999999,19.31448,2279.0,,484090030109,1.91029881531207,2.12581218018512,2.1272120490473703,1.61110008679984,1.2714748589854399,1.1329343831448502,1.03784589669745,0.9041569475654321,0.7193427104566941,0.7424297214502421,1.2358801575955,1.12208284773216,0.9625586164869789,0.948262674547611,0.9972172945134059,0.966043393259382,0.0,0.0,0.0,0.0,0.0
TAC,Tacuba,-99.202455,19.453907,2275.0,Finaliz� operaci�n en 2010,484090160309,2.89785153446079,1.63372843997807,1.62199576971281,1.53222912077368,1.42838936761297,1.1516686931901001,1.0793932976854002,1.0257066561319998,0.958112773964836,0.876477061741043,0.761425935800938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAH,Tl�huac,-99.010564,19.246458999999998,2297.0,,484090130309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7569748947531051,0.507965191715222,0.593432457696213,0.5986430215562679,0.40051763855019396,0.40368759070966,0.482613647970704,0.398999800277384,0.337433889542014,0.29301698389294895
TAX,Taxque�a,-99.123204,19.335689000000002,2242.0,Finaliz� operaci�n en 2010,484090030201,3.0149200983924103,3.36503379598526,2.30078347188144,2.12481179810272,2.32767719412764,2.06372395249893,1.59423874424423,1.56459532121436,1.21389563690016,1.3623293613963001,1.6277083555349698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TEC,Cerro del Tepeyac,-99.11422900000001,19.487226999999997,2265.0,,484090050404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLA,Tlalnepantla,-99.20459699999999,19.529076999999997,2311.0,,484151040115,2.11292720099255,2.4454365371768,1.7552955496024298,1.64297647493431,1.4887713245980099,1.3704108200047702,1.3684831468203797,1.05129102772438,0.9178586036566079,0.769204210230268,1.0005018745896899,0.8524207833607859,0.810455267787513,1.0028181440441,0.9233853698943859,0.915281922669043,0.834430673481298,0.623209957574541,0.513077593822374,0.47613529046241104,0.35894113364802793
TLI,Tultitl�n,-99.177173,19.602542,2313.0,,484151090101,1.8010942549618,1.2543020042663602,1.2580234661506298,1.14593977199277,1.03455103653076,0.88168350126583,0.85936183138014,0.9696431947264309,0.8354866330517231,0.8699095384820509,0.7731459509892931,0.6738631388393371,0.6524253710401479,0.6707273433318871,0.63195941653302,0.569647120959078,0.461017414370881,0.553297833172538,0.45408642254447706,0.417648093883806,0.42458264845811
TPN,Tlalpan,-99.184177,19.257041,2522.0,,484090120209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6415778724315849,0.721369559813942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UAX,UAM Xochimilco,-99.103629,19.304441,2246.0,,484090030401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8119126653179941,0.753518353258968,0.719546823972528,0.6385680228133199,0.47555919995383,0.644524335994703,0.43317427413928294,0.38373119154692203,0.305606356747791
UIZ,UAM Iztapalapa,-99.07388,19.360794,2221.0,,484090070219,1.7980759029880902,1.5773672635713702,1.64165639591319,1.62581198425629,1.31141276643364,1.2116788436286101,1.26009605574307,1.05879887214238,1.04693326455208,0.932540283232283,0.903118640705006,0.916307316323573,0.9118843577536109,0.873107538696705,0.783033969174837,0.812814241747551,0.7175605638604761,0.6677266672021421,0.45028836474683503,0.428217424196249,0.31349557137686
UNM,Unidad Movil,-99.147137,19.482238,,,484090000099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAL,Vallejo,-99.165702,19.522437,2248.0,Finaliz� operaci�n en 2010,484090050501,3.18934691108625,2.17434999713504,1.8714104034871497,1.72658191106821,1.36150268345218,1.45576936578331,1.2713621305273202,1.49350822968091,1.06028812260556,1.35879129740251,1.0929314165393298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIF,Villa de las Flores,-99.09659,19.658223,2242.0,,484150200109,1.23543296941534,1.01672981072134,1.168203968972,1.03266743344222,0.8977858992065669,0.805175938907935,0.621001444721486,0.863426778927678,0.6736913223902221,0.639732465353588,0.8307818928740258,0.634476975213597,0.752691344967705,0.728026891065114,0.5955265230978121,0.52014069773323,0.43034299025221706,0.48352730411831296,0.37930629099921204,0.325534617824958,0.312866976392881
XAL,Xalostoc,-99.0824,19.525995,2160.0,,484150330415,2.62194968750752,2.52122886954958,2.07622650577032,1.70291463688423,1.30416684242455,1.32413552791119,1.6580557648929,1.0832317319311702,0.895983304993972,0.8941593276873441,1.12649194712757,0.972442816985607,0.866349487728138,0.941667666974967,1.03676538773256,1.14286490555455,1.00020873267128,0.89102098122512,0.633768764702079,0.54633434729081,0.618882359486623
XCH,Xochimilco,-99.118252,19.267066,2243.0,Finaliz� operaci�n en 1999,484090130102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAR,FES Arag�n,-99.046176,19.473692,2230.0,,484800150584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.263690144110257
SAC,Santiago Acahualtepec,-99.009381,19.34561,2293.0,,484800090073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42255648711785,0.399739687104055
